card-link--3ssYv href,heading--2eONR,details--1GUIn,premium-member--3Qd1D,price--3SnqI,updated-time--1DbCk
https://ikman.lk/en/ad/katubadda-junction-luxury-house-for-sale-for-sale-colombo-2,Katubadda Junction Luxury House for Sale,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 68,500,000",2 minutes
https://ikman.lk/en/ad/beautiful-brand-new-house-for-sale-in-piliyandala-for-sale-colombo-14,Beautiful Brand New House for Sale in Piliyandala,Bedrooms: 5 | Bathrooms: 3,MEMBER,"Rs 45,000,000",10 minutes
https://ikman.lk/en/ad/fully-complete-new-house-for-sale-in-kottawa-mattegoda-for-sale-colombo-1,Fully Complete New House for Sale in Kottawa Mattegoda,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 17,000,000",11 minutes
https://ikman.lk/en/ad/superb-luxury-two-story-house-for-sale-in-piliyandala-for-sale-colombo-1,Superb Luxury Two Story House for Sale in Piliyandala,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 42,000,000",11 minutes
https://ikman.lk/en/ad/house-for-sale-nugegoda-dabare-place-for-sale-colombo,"HOUSE FOR SALE – NUGE​​GODA, DABARE PLACE",Bedrooms: 5 | Bathrooms: 2,MEMBER,"Rs 49,500,000",14 minutes
https://ikman.lk/en/ad/house-for-sale-malabe-kahanthota-road-for-sale-colombo-2,HOUSE FOR SALE – MALABE | KAHANTHOTA ROAD,Bedrooms: 3 | Bathrooms: 3,MEMBER,"Rs 60,000,000",19 minutes
https://ikman.lk/en/ad/stunning-specious-luxury-two-story-house-for-sale-in-pitakotte-kotte-for-sale-colombo,"Stunning, specious, luxury two story house for sale in Pitakotte - Kotte",Bedrooms: 5 | Bathrooms: 5,MEMBER,"Rs 79,500,000",36 minutes
https://ikman.lk/en/ad/house-for-sale-in-gated-community-dampe-piliyadnala-near-tnl-for-sale-colombo,House For Sale in Gated Community Dampe Piliyadnala Near TNL,Bedrooms: 4 | Bathrooms: 2,MEMBER,"Rs 29,500,000",40 minutes
https://ikman.lk/en/ad/single-story-modern-brand-new-house-homagama-diyagama-for-sale-colombo,Single Story Modern Brand-New House Homagama Diyagama,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 23,000,000",42 minutes
https://ikman.lk/en/ad/eye-catching-house-for-sale-in-meegoda-for-sale-colombo-2,Eye catching |House for sale in Meegoda,Bedrooms: 3 | Bathrooms: 2,MEMBER,"Rs 31,000,000",
https://ikman.lk/en/ad/brand-new-2-storied-house-for-sale-piliyandala-for-sale-colombo-86,Brand New 2 Storied House for Sale – Piliyandala,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 39,000,000",
https://ikman.lk/en/ad/brand-new-2-storied-house-for-sale-malabe-arangala-for-sale-colombo-1,"Brand New 2 Storied House for Sale – Malabe, Arangala",Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 44,000,000",
https://ikman.lk/en/ad/brand-new-2-storied-house-for-sale-piliyandala-for-sale-colombo-87,Brand New 2 Storied House for Sale – Piliyandala,Bedrooms: 4 | Bathrooms: 3,MEMBER,"Rs 44,000,000",
https://ikman.lk/en/ad/modern-slab-roof-single-storey-2-bedroom-house-for-sale-in-dehiwala-for-sale-colombo,Modern Slab Roof Single Storey 2 Bedroom House For Sale In Dehiwala,Bedrooms: 2 | Bathrooms: 2,,"Rs 33,000,000",
https://ikman.lk/en/ad/moderntwo-storey-house-for-sale-in-piliyandala-for-sale-colombo,ModernTwo Storey House for Sale in Piliyandala,Bedrooms: 3 | Bathrooms: 2,,"Rs 27,500,000",
https://ikman.lk/en/ad/vttinaa-temhl-nivsk-kottttaavenvikiniimtthw78268-for-sale-colombo,වටිනා තෙමහල් නිවසක් කොට්ටාවෙන්විකිනීමට(hw78268),Bedrooms: 4 | Bathrooms: 5,MEMBER,"Rs 31,000,000",1 hour
